Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S85801596,Canada Goose,Branta canadensis,303,1,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2021-04-18,08:57 AM,eBird - Traveling Count,83,1,1.911,,3
S87313216,Canada Goose,Branta canadensis,303,1,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2021-05-07,07:59 AM,eBird - Traveling Count,39,1,1.578,,1
S88584425,Canada Goose,Branta canadensis,303,3,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2021-05-20,07:58 AM,eBird - Traveling Count,63,1,1.631,,2
S88654931,Canada Goose,Branta canadensis,303,2,CA-ON,Toronto,L571677,Toronto--Queen's Park,43.6648526,-79.3923676,2021-05-21,09:42 AM,eBird - Traveling Count,42,1,.758,,1
S94264429,Canada Goose,Branta canadensis,303,X,CA-ON,Toronto,L351714,Toronto--Toronto Islands,43.6165143,-79.3821734,2021-09-05,11:00 AM,eBird - Casual Observation,,0,,,1
S82505007,Canada Goose,Branta canadensis,303,4,CA-ON,Toronto,L4570989,Toronto--Toronto Necropolis,43.6679609,-79.3623778,2021-02-28,11:00 AM,eBird - Traveling Count,54,1,.847,,3,F Flyover
S82862633,Canada Goose,Branta canadensis,303,2,CA-ON,Toronto,L4570989,Toronto--Toronto Necropolis,43.6679609,-79.3623778,2021-03-06,10:32 AM,eBird - Traveling Count,60,1,1.201,,3,,,Cardinal Central!!
S82898571,Canada Goose,Branta canadensis,303,2,CA-ON,Toronto,L13941665,"University of Toronto - St. George Campus, Toronto CA-ON 43.66102, -79.39661",43.661016,-79.396607,2021-03-06,05:06 PM,eBird - Traveling Count,30,1,1.5,,1
S99105479,Canada Goose,Branta canadensis,303,38,CA-ON,Toronto,L1620006,Wychwood Park,43.678044,-79.419724,2021-12-19,09:19 AM,eBird - Traveling Count,89,1,1.536,,9,,,CBC 5A
S56914943,Canada Goose,Branta canadensis,303,2,CA-ON,York,L1521305,Koffler Scientific Reserve,44.0306688,-79.5319375,2019-05-29,02:00 PM,eBird - Traveling Count,90,1,1.609,,1
S73498731,Canada Goose,Branta canadensis,303,2,CA-ON,York,L1521305,Koffler Scientific Reserve,44.0306688,-79.5319375,2020-09-12,10:39 AM,eBird - Casual Observation,,0,,,1
S74380168,Canada Goose,Branta canadensis,303,7,CA-ON,York,L1521305,Koffler Scientific Reserve,44.0306688,-79.5319375,2020-10-03,04:45 PM,eBird - Casual Observation,,0,,,1
